LEVEL_ID,X,Y,Z
0,39,10,221
0,5.3,10,221
0,-32.8,10,221
0,10.8,10,320
0,-5.6,10,320
0,-39,10,320
0,5.3,10,320
0,32.8,10,320
1,-47,48,108
1,47,68,159.8
1,-18,12,180
1,18,12,180
1,-188.6,42.6,495
1,-188.6,42.6,436
1,-188.6,42.6,408
1,-188.6,42.6,350
1,188.6,42.6,495
1,188.6,42.6,436
1,188.6,42.6,408
1,188.6,42.6,350
1,128.6,42.6,700
1,128.6,42.6,636
1,128.6,42.6,608
1,128.6,42.6,650
1,-128.6,42.6,700
1,-128.6,42.6,636
1,-128.6,42.6,608
1,-128.6,42.6,650
1,-50.6,42.6,650
1,-30.6,42.6,650
1,30.6,42.6,650
1,50.6,42.6,650
2,0,15,1
